name;manufacturer;serving_size;energy_kcal;protein_g;carbohydrate_g;fat_g;sugar_g;sodium_mg;fiber_g;energy_percentage_dv;protein_percentage_dv;carbohydrate_percentage_dv;fat_percentage_dv;sodium_percentage_dv;Lemak jenuh;Natrium;Protein;Karbohidrat total;Energi;Lemak total;Serat pangan;Column1;Column2;Column3;Column4
Laksa/Putu mayang;Tidak Diketahui;0.60 g;121.0;1.7;21.1;3.4;0.0;0.0;0.0;5.63;2.83;6.49;5.07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
Ultramilk law fat source of calcium;"PT. Ultrajaya Milk Industry, Tbk";7 g;90.0;7.0;11.0;2.5;0.0;105.0;0.0;4.19;11.67;3.38;3.73;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
Kacang urei;Tidak Diketahui;3.30 g;354.0;12.8;69.3;1.8;0.0;1.0;26.1;16.47;21.33;21.32;2.69;0.07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
Ganyong; segar;Tidak Diketahui;0.90 g;77.0;0.6;18.4;0.2;0.0;0.0;0.8;3.58;1.0;5.66;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;
Keju;Tidak Diketahui;5.30 g;326.0;22.8;13.1;20.3;0.0;1410.0;0.0;15.16;38.0;4.03;30.3;94.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
Bebek (itik); daging; segar;Tidak Diketahui;1.10 g;321.0;16.0;0.0;28.6;0.0;54.0;0.0;14.93;26.67;0.0;42.69;3.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
Sagu Lemak (Kue Sagon);Tidak Diketahui;0.70 g;452.0;2.8;76.8;14.8;0.0;182.0;1.1;21.02;4.67;23.63;22.09;12.13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
Buah kelenting; segar;Tidak Diketahui;1.20 g;110.0;1.4;21.4;2.1;0.0;2.0;0.0;5.12;2.33;6.58;3.13;0.13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;
Masekat;Tidak Diketahui;0.80 g;369.0;2.1;74.1;7.0;0.0;141.0;4.0;17.16;3.5;22.8;10.45;9.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
Bakpia; kue;Tidak Diketahui;1.60 g;272.0;8.7;44.1;6.7;0.0;0.0;0.9;12.65;14.5;13.57;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;
Coklat susu batang;Tidak Diketahui;1.40 g;565.0;9.0;53.6;35.0;0.0;100.0;3.4;26.28;15.0;16.49;52.24;6.67;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
Es teh manis;Tidak Diketahui;0.02 g;90.0;0.02;23.44;0.0;0.0;0.0;0.0;4.19;0.03;7.21;0.0;0.0;0.0;0.0;1.0;8.0;5.0;0.0;0.0;;;;
Cap cai / capcay / cap cay; sayur;Tidak Diketahui;1 g;97.0;5.8;4.2;6.3;0.0;405.0;0.6;4.51;9.67;1.29;9.4;27.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;
Keju cheddar;Tidak Diketahui;22.87 g;404.0;22.87;3.09;33.31;0.0;0.0;0.0;18.79;38.12;0.95;49.72;0.0;0.0;0.0;39.0;0.0;19.0;50.0;0.0;;;;
Sawo kecik;Tidak Diketahui;1.40 g;111.0;0.9;21.6;2.3;0.0;28.0;1.0;5.16;1.5;6.65;3.43;1.87;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
Keju kraft cheddar;PT. Kraft foods Indonesia;4 g;70.0;4.0;2.0;5.0;0.0;0.0;0.0;3.26;6.67;0.62;7.46;0.0;0.0;0.0;7.0;0.0;4.0;8.0;0.0;;;;
Starbucks hot caffe mocha (notfat milk);Tidak Diketahui;13 g;250.0;13.0;42.0;2.5;0.0;0.0;0.0;11.63;21.67;12.92;3.73;0.0;0.0;0.0;22.0;13.0;12.0;0.0;0.0;;;;
Koya;Tidak Diketahui;0.80 g;366.0;4.2;77.5;4.3;0.0;0.0;0.8;17.02;7.0;23.85;6.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
Mi golosor;Tidak Diketahui;0.20 g;71.0;0.2;15.9;0.8;0.0;0.0;0.1;3.3;0.33;4.89;1.19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
Good day cappuccino;PT. Santos jaya abadi;1 g;170.0;1.0;32.0;3.5;25.0;0.0;1.0;7.91;1.67;9.85;5.22;0.0;0.0;0.0;0.0;10.0;8.0;6.0;0.0;;;;
Susu asam untuk bayi; bubuk;Tidak Diketahui;4 g;418.0;19.0;65.5;9.0;0.0;188.0;0.0;19.44;31.67;20.15;13.43;12.53;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;
Kacang bogor kering;Tidak Diketahui;3 g;370.0;16.0;65.0;6.0;0.0;44.0;26.3;17.21;26.67;20.0;8.96;2.93;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
Khong guan malkist seaweed;Tidak Diketahui;1 g;90.0;1.0;12.0;3.5;2.0;0.0;0.0;4.19;1.67;3.69;5.22;0.0;0.0;0.0;0.0;4.0;5.0;6.0;0.0;;;;
Cantel / sorgum; mentah;Tidak Diketahui;1.70 g;366.0;11.0;73.0;3.3;0.0;7.0;1.2;17.02;18.33;22.46;4.93;0.47;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;
Daun bluntas; segar;Tidak Diketahui;2.30 g;44.0;1.8;9.4;0.5;0.0;0.0;0.0;2.05;3.0;2.89;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;
